Brand,Model,Year,Engine_Size,Fuel_Type
Kia,Rio,2020,4.2,Diesel
Chevrolet,Malibu,2012,2.0,Hybrid
Mercedes,GLA,2020,4.2,Diesel
Audi,Q5,2023,2.0,Electric
Volkswagen,Golf,2003,2.6,Hybrid
Toyota,Camry,2007,2.7,Petrol
Honda,Civic,2010,3.4,Electric
Kia,Sportage,2001,4.7,Electric
Kia,Sportage,2014,2.6,Hybrid
Toyota,RAV4,2005,3.1,Petrol
BMW,5 Series,2013,1.3,Hybrid
Volkswagen,Golf,2009,4.5,Hybrid
Honda,CR-V,2007,4.8,Hybrid
Hyundai,Elantra,2004,2.3,Hybrid
Volkswagen,Golf,2003,2.4,Petrol
Volkswagen,Golf,2007,3.2,Diesel
Hyundai,Elantra,2017,2.9,Electric
Volkswagen,Tiguan,2006,4.5,Electric
Kia,Rio,2000,3.4,Diesel
Mercedes,GLA,2021,1.5,Petrol
Chevrolet,Equinox,2018,1.8,Hybrid
Toyota,RAV4,2000,4.6,Hybrid
Toyota,RAV4,2003,2.0,Electric
Ford,Explorer,2006,2.8,Hybrid
Mercedes,GLA,2016,3.9,Petrol
Kia,Sportage,2011,1.8,Diesel
Audi,A3,2022,3.3,Electric
BMW,3 Series,2017,2.3,Electric
BMW,3 Series,2020,4.7,Electric
Chevrolet,Equinox,2013,1.9,Hybrid
Hyundai,Tucson,2007,3.9,Electric
Volkswagen,Passat,2008,3.5,Electric
Chevrolet,Impala,2017,2.3,Petrol
Mercedes,GLA,2013,3.3,Electric
Toyota,Corolla,2010,3.2,Diesel
Kia,Optima,2005,4.5,Petrol
Audi,Q5,2013,3.5,Hybrid
Kia,Sportage,2000,1.4,Electric
Ford,Fiesta,2017,2.2,Hybrid
Audi,A4,2004,1.0,Petrol
Ford,Focus,2004,1.2,Electric
BMW,5 Series,2007,4.9,Petrol
Honda,Civic,2000,3.9,Hybrid
Toyota,RAV4,2003,3.9,Electric
Audi,Q5,2023,3.6,Electric
Ford,Focus,2011,2.3,Diesel
Audi,A4,2009,2.4,Diesel
Hyundai,Elantra,2006,2.8,Electric
Audi,A3,2009,1.2,Electric
Mercedes,GLA,2013,1.9,Petrol
Mercedes,E-Class,2004,4.9,Petrol
Mercedes,GLA,2022,3.8,Diesel
Ford,Focus,2008,1.8,Electric
Honda,Civic,2015,2.6,Electric
Kia,Optima,2020,3.2,Electric
BMW,3 Series,2011,2.9,Electric
Chevrolet,Impala,2017,1.8,Diesel
Volkswagen,Passat,2003,2.0,Electric
Hyundai,Sonata,2007,3.6,Electric
Honda,Civic,2005,2.4,Petrol
Toyota,Camry,2008,1.3,Petrol
Ford,Fiesta,2004,4.0,Diesel
Ford,Focus,2015,4.8,Electric
Mercedes,C-Class,2007,2.7,Hybrid
Mercedes,GLA,2011,4.0,Diesel
Volkswagen,Passat,2005,3.2,Electric
Volkswagen,Golf,2000,4.0,Hybrid
Ford,Fiesta,2002,4.0,Hybrid
Kia,Optima,2008,4.6,Petrol
Hyundai,Tucson,2018,2.8,Petrol
Hyundai,Elantra,2007,1.5,Diesel
BMW,3 Series,2019,1.9,Electric
Toyota,Camry,2007,4.9,Hybrid
Kia,Sportage,2017,2.7,Hybrid
Hyundai,Sonata,2017,1.3,Hybrid
Honda,CR-V,2022,3.4,Diesel
Mercedes,GLA,2007,2.3,Electric
BMW,X5,2017,3.9,Hybrid
Hyundai,Sonata,2018,2.0,Hybrid
Volkswagen,Golf,2023,3.5,Petrol
Ford,Fiesta,2007,4.5,Electric
Volkswagen,Tiguan,2020,1.7,Petrol
Audi,A4,2004,4.8,Hybrid
Honda,Civic,2020,4.6,Petrol
Hyundai,Tucson,2015,1.6,Electric
Mercedes,C-Class,2015,4.1,Petrol
Volkswagen,Passat,2007,3.8,Electric
Ford,Focus,2013,1.1,Diesel
Kia,Sportage,2001,2.9,Diesel
